Site,Leaf,Clone,Treatment,ID,Day,Count
Crystal,1,1,25C,C23_1_1,3,0
Crystal,1,1,25C,C23_1_2,3,1
Crystal,1,1,25C,C23_1_3,3,1
Crystal,1,1,30C,C23_1_4,3,0
Crystal,1,1,30C,C23_1_5,3,0
Crystal,1,1,30C,C23_1_6,3,0
Crystal,1,2,25C,C23_2_1,3,0
Crystal,1,2,25C,C23_2_2,3,0
Crystal,1,2,25C,C23_2_3,3,0
Crystal,1,2,30C,C23_2_4,3,0
Crystal,1,2,30C,C23_2_5,3,0
Crystal,1,2,30C,C23_2_6,3,0
Crystal,2,3,25C,C7_17_1,3,1
Crystal,2,3,25C,C7_17_2,3,1
Crystal,2,3,25C,C7_17_3,3,0
Crystal,2,3,30C,C7_17_4,3,0
Crystal,2,3,30C,C7_17_5,3,1
Crystal,2,3,30C,C7_17_6,3,0
Crystal,2,4,25C,C7_18_1,3,0
Crystal,2,4,25C,C7_18_2,3,1
Crystal,2,4,25C,C7_18_3,3,0
Crystal,2,4,30C,C7_18_4,3,0
Crystal,2,4,30C,C7_18_5,3,0
Crystal,2,4,30C,C7_18_6,3,2
Crystal,2,5,25C,C7_19_1,3,0
Crystal,2,5,25C,C7_19_2,3,1
Crystal,2,5,25C,C7_19_3,3,0
Crystal,2,5,30C,C7_19_4,3,1
Crystal,2,5,30C,C7_19_5,3,0
Crystal,2,5,30C,C7_19_6,3,1
Crystal,3,6,25C,C36_72_1,3,0
Crystal,3,6,25C,C36_72_2,3,0
Crystal,3,6,25C,C36_72_3,3,0
Crystal,3,6,30C,C36_72_4,3,1
Crystal,3,6,30C,C36_72_5,3,0
Crystal,3,6,30C,C36_72_6,3,1
Crystal,3,7,25C,C36_73_1,3,0
Crystal,3,7,25C,C36_73_2,3,0
Crystal,3,7,25C,C36_73_3,3,0
Crystal,3,7,30C,C36_73_4,3,0
Crystal,3,7,30C,C36_73_5,3,0
Crystal,3,7,30C,C36_73_6,3,1
Crystal,3,8,25C,C36_74_1,3,0
Crystal,3,8,25C,C36_74_2,3,1
Crystal,3,8,25C,C36_74_3,3,1
Crystal,3,8,30C,C36_74_4,3,1
Crystal,3,8,30C,C36_74_5,3,0
Crystal,3,8,30C,C36_74_6,3,0
Pleaphase,4,9,25C,P36_39_1,3,1
Pleaphase,4,9,25C,P36_39_2,3,0
Pleaphase,4,9,25C,P36_39_3,3,0
Pleaphase,4,9,30C,P36_39_4,3,1
Pleaphase,4,9,30C,P36_39_5,3,0
Pleaphase,4,9,30C,P36_39_6,3,0
Pleaphase,4,10,25C,P36_40_1,3,0
Pleaphase,4,10,25C,P36_40_2,3,0
Pleaphase,4,10,25C,P36_40_3,3,1
Pleaphase,4,10,30C,P36_40_4,3,0
Pleaphase,4,10,30C,P36_40_5,3,0
Pleaphase,4,10,30C,P36_40_6,3,0
Pleaphase,4,11,25C,P36_42_1,3,0
Pleaphase,4,11,25C,P36_42_2,3,0
Pleaphase,4,11,25C,P36_42_3,3,1
Pleaphase,4,11,30C,P36_42_4,3,0
Pleaphase,4,11,30C,P36_42_5,3,0
Pleaphase,4,11,30C,P36_42_6,3,0
Pleaphase,5,12,25C,P24_75_1,3,0
Pleaphase,5,12,25C,P24_75_2,3,0
Pleaphase,5,12,25C,P24_75_3,3,2
Pleaphase,5,12,30C,P24_75_4,3,0
Pleaphase,5,12,30C,P24_75_5,3,0
Pleaphase,5,12,30C,P24_75_6,3,0
Pleaphase,5,13,25C,P24_26_1,3,0
Pleaphase,5,13,25C,P24_26_2,3,0
Pleaphase,5,13,25C,P24_26_3,3,0
Pleaphase,5,13,30C,P24_26_4,3,0
Pleaphase,5,13,30C,P24_26_5,3,1
